journal_canonical,n_papers,mean_citations,median_citations,total_citations,first_year,last_year,pct_uncited
The American journal of drug and alcohol abuse,35,21.06,16.0,737,1989,2022,0.0
Issues in law & medicine,35,5.37,3.0,188,1990,2021,14.29
The Pan African medical journal,34,4.88,2.5,166,2013,2022,11.76
Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,34,25.88,17.5,880,1995,2022,0.0
BioMed research international,34,27.06,13.5,920,2007,2022,0.0
EClinicalMedicine,34,50.12,22.0,1704,2004,2022,2.94
Journal of the Medical Association of Thailand = Chotmaihet thangphaet,34,4.41,3.0,150,1989,2016,14.71
The South African journal of psychiatry : SAJP : the journal of the Society of Psychiatrists of South Africa,34,22.44,7.5,763,2001,2022,0.0
European eating disorders review : the journal of the Eating Disorders Association,34,29.12,21.5,990,1998,2022,0.0
World psychiatry : official journal of the World Psychiatric Association (WPA),33,98.82,71.0,3261,2003,2022,0.0
Trends in psychiatry and psychotherapy,33,6.45,5.0,213,2012,2022,9.09
"Epidemiology (Cambridge, Mass.)",33,46.58,20.0,1537,1990,2022,6.06
International journal of public health,33,59.76,23.0,1972,2002,2022,0.0
The Gerontologist,33,23.33,20.0,770,1990,2022,3.03
The Journal of school nursing : the official publication of the National Association of School Nurses,33,13.06,11.0,431,1996,2022,0.0
Bioethics,33,8.52,5.0,281,1995,2022,3.03
Behavior modification,33,22.39,16.0,739,1989,2021,0.0
Irish Journal of Psychological Medicine,33,5.61,4.0,185,1989,2001,18.18
International journal of emergency mental health,33,8.33,7.0,275,1999,2014,6.06
MMW Fortschritte der Medizin,33,13.7,0.0,452,1999,2021,63.64
"Psychotherapy (Chicago, Ill.)",33,16.33,7.0,539,2008,2022,6.06
Eating and weight disorders : EWD,33,19.39,8.0,640,1998,2022,6.06
Clinical neuropharmacology,32,23.31,8.5,746,1989,2022,6.25
Clinical practice and epidemiology in mental health : CP & EMH,32,35.41,19.5,1133,1999,2021,3.12
Current opinion in psychology,32,46.94,30.5,1502,2006,2022,0.0
BMC research notes,32,20.44,14.0,654,2003,2021,3.12
Sleep medicine,32,40.81,26.0,1306,2004,2022,0.0
Swiss medical weekly,32,16.16,12.0,517,2001,2022,3.12
"Actas luso-espanolas de neurologia, psiquiatria y ciencias afines",32,1.16,0.0,37,1989,1998,59.38
Behavioural brain research,32,35.62,24.0,1140,1996,2022,0.0
Social Forces,32,37.59,28.5,1203,1989,2006,3.12
Obstetrics and gynecology,32,55.0,38.5,1760,1993,2022,0.0
Wiener klinische Wochenschrift,32,15.59,9.5,499,1989,2021,0.0
Cancer,32,55.72,51.0,1783,1992,2022,0.0
"Methods in molecular biology (Clifton, N.J.)",32,6.0,4.5,192,2004,2022,6.25
Nursing times,32,2.25,1.0,72,1990,2015,31.25
Journal of immigrant and minority health,32,29.31,14.0,938,2006,2022,0.0
Cultural diversity & ethnic minority psychology,32,48.75,24.0,1560,2000,2022,0.0
Mortality,32,14.53,8.5,465,1997,2022,6.25
Journal of law and medicine,31,2.16,1.0,67,2002,2022,29.03
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,31,40.97,27.0,1270,1996,2022,0.0
Sudebno-meditsinskaia ekspertiza,31,0.94,0.0,29,1991,2022,51.61
Soudni lekarstvi,31,0.55,0.0,17,1991,2022,61.29
Contemporary clinical trials,31,20.45,12.0,634,2012,2022,0.0
Palliative medicine,31,37.65,25.0,1167,1993,2022,0.0
American journal of medical genetics,31,61.74,51.0,1914,1989,2002,0.0
The Journal of rural health : official journal of the American Rural Health Association and the National Rural Health Care Association,31,18.71,11.0,580,1989,2022,3.23
The Journal of pediatrics,31,40.84,23.0,1266,1989,2022,0.0
Journal of psychoactive drugs,31,27.55,12.0,854,1989,2022,3.23
Rural and remote health,31,18.39,10.0,570,2003,2022,3.23
BJPsych bulletin,30,9.1,5.0,273,2015,2022,10.0
Revista brasileira de enfermagem,30,5.3,4.0,159,2007,2022,10.0
Versicherungsmedizin,30,1.27,0.0,38,1989,2014,56.67
Frontiers in neurology,30,30.87,20.5,926,2005,2022,3.33
Journal of medical case reports,30,10.17,7.5,305,2000,2022,3.33
Journal of psychiatry & neuroscience : JPN,30,60.87,51.0,1826,1993,2022,0.0
Revista panamericana de salud publica = Pan American journal of public health,30,10.6,9.0,318,1998,2022,3.33
The Hastings Center report,30,16.33,11.0,490,1989,2022,6.67
International Review of Psychiatry,30,31.0,20.0,930,1991,2021,0.0
Journal of urban health : bulletin of the New York Academy of Medicine,30,59.23,31.0,1777,1994,2022,0.0
Primary care companion to the Journal of clinical psychiatry,30,27.17,15.0,815,1999,2010,3.33
Collegium antropologicum,29,6.0,5.0,174,1997,2013,10.34
Iranian journal of public health,29,11.07,6.0,321,2011,2022,3.45
Journal of preventive medicine and public health = Yebang Uihakhoe chi,29,12.28,10.0,356,2005,2022,0.0
Irish journal of medical science,29,8.34,6.0,242,1989,2022,3.45
Movement disorders : official journal of the Movement Disorder Society,29,47.55,35.0,1379,1989,2022,0.0
Expert review of neurotherapeutics,29,23.55,11.0,683,2003,2022,0.0
Medicine and law,29,3.14,2.0,91,1989,2013,27.59
Der Anaesthesist,29,5.41,4.0,157,1990,2022,20.69
Archives of physical medicine and rehabilitation,29,42.03,26.0,1219,1990,2021,3.45
Health & social care in the community,29,14.45,7.0,419,1998,2022,6.9
"Brain, behavior, and immunity",29,89.62,42.0,2599,2008,2022,0.0
"Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS",29,2.21,1.0,64,1991,2017,27.59
Journal of community health,28,38.36,17.0,1074,2000,2022,3.57
Journal of correctional health care : the official journal of the National Commission on Correctional Health Care,28,10.36,4.5,290,2005,2022,3.57
Journal of behavior therapy and experimental psychiatry,28,29.25,10.0,819,1989,2021,0.0
Neuro endocrinology letters,28,9.46,6.0,265,2005,2019,0.0
Environmental health and preventive medicine,28,26.54,16.5,743,1996,2022,0.0
Cambridge quarterly of healthcare ethics : CQ : the international journal of healthcare ethics committees,28,5.18,4.5,145,1992,2022,3.57
"Occupational medicine (Oxford, England)",28,30.79,12.0,862,1992,2022,3.57
Paediatrics & child health,28,12.75,7.0,357,1997,2022,21.43
Depression research and treatment,28,17.93,13.5,502,1993,2022,0.0
Current opinion in pediatrics,28,20.68,15.5,579,1993,2022,3.57
Health communication,28,9.39,7.0,263,2002,2022,10.71
Hospital & community psychiatry,28,50.57,25.0,1416,1989,1994,0.0
Social work,28,21.11,9.0,591,1993,2022,3.57
"Global mental health (Cambridge, England)",28,34.11,17.0,955,2009,2022,0.0
Journal of the American Psychiatric Nurses Association,28,15.0,8.0,420,1999,2022,3.57
Journal of burn care & research : official publication of the American Burn Association,28,19.75,13.5,553,2006,2022,0.0
International journal of prisoner health,28,6.61,5.0,185,2008,2022,3.57
Family practice,28,18.75,18.0,525,1990,2022,0.0
FEMS microbiology letters,28,34.82,12.5,975,1992,2019,0.0
Acta psychiatrica Scandinavica. Supplementum,27,22.3,23.0,602,1989,2013,0.0
"Trauma, violence & abuse",27,59.67,33.0,1611,2004,2022,0.0
The journal of behavioral health services & research,27,11.89,10.0,321,1998,2022,3.7
Journal of Korean Academy of Nursing,27,4.81,3.0,130,2009,2022,7.41
"Military psychology : the official journal of the Division of Military Psychology, American Psychological Association",27,9.7,5.0,262,1999,2022,3.7
The Australian journal of rural health,27,17.48,11.0,472,1997,2022,3.7
Journal of addiction medicine,27,16.04,10.0,433,2007,2022,0.0
Molecular microbiology,27,68.41,55.0,1847,1990,2017,0.0
Medicinski pregled,27,1.44,1.0,39,1989,2016,48.15
Basic & clinical pharmacology & toxicology,27,13.96,11.0,377,2005,2022,0.0
Palliative & supportive care,27,14.59,8.0,394,2003,2022,11.11
"Microbiology (Reading, England)",27,49.7,27.0,1342,1989,2019,0.0
Journal watch,27,0.48,0.0,13,1993,2000,92.59
Heliyon,27,34.85,9.0,941,2015,2022,0.0
Dialogues in clinical neuroscience,27,56.3,40.0,1520,1999,2020,7.41
BMC medical ethics,27,31.93,20.0,862,2005,2022,0.0
The International journal of psycho-analysis,27,6.59,3.0,178,1989,2022,14.81
"Pain medicine (Malden, Mass.)",27,25.96,19.0,701,2001,2021,0.0
Salud publica de Mexico,27,12.07,6.0,326,1989,2022,0.0
Nihon rinsho. Japanese journal of clinical medicine,27,0.59,0.0,16,1994,2016,62.96
Canadian family physician Medecin de famille canadien,27,16.19,11.0,437,1991,2022,3.7
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,26,123.85,90.5,3220,1995,2021,0.0
Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,26,55.42,24.5,1441,2008,2022,0.0
Journal of child sexual abuse,26,14.42,10.0,375,1996,2022,0.0
British journal of clinical pharmacology,26,24.69,19.0,642,1993,2022,0.0
Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit,26,11.69,6.5,304,2001,2022,7.69
Research on child and adolescent psychopathology,26,60.12,20.0,1563,1996,2022,0.0
The Journal of surgical research,26,9.23,8.5,240,2007,2022,3.85
Hu li za zhi The journal of nursing,26,1.38,1.0,36,2004,2022,42.31
Blood,26,86.54,54.0,2250,1990,2018,0.0
Mayo Clinic proceedings,26,86.19,45.0,2241,1990,2022,3.85
International journal of bipolar disorders,26,67.27,19.0,1749,2001,2022,3.85
The Lancet. Public health,26,82.42,58.5,2143,2016,2022,0.0
European journal of emergency medicine : official journal of the European Society for Emergency Medicine,26,15.65,10.5,407,1999,2020,0.0
Journal of personalized medicine,26,32.81,9.0,853,2001,2022,7.69
Journal of eating disorders,25,54.44,17.0,1361,2012,2022,0.0
"Wiadomosci lekarskie (Warsaw, Poland : 1960)",25,1.32,0.0,33,1994,2022,52.0
Autism : the international journal of research and practice,25,88.12,45.0,2203,2006,2022,0.0
Brain and behavior,25,17.16,11.0,429,1997,2022,0.0
The Journal of head trauma rehabilitation,25,45.76,30.0,1144,1995,2021,4.0
"The Journal of law, medicine & ethics : a journal of the American Society of Law, Medicine & Ethics",25,8.6,4.0,215,1994,2022,8.0
Plasmid,25,42.96,16.0,1074,1992,2018,0.0
Personality and mental health,25,24.72,14.0,618,2005,2022,0.0
Epidemiologia e psichiatria sociale,25,19.04,9.0,476,1992,2010,8.0
Rand health quarterly,25,9.36,3.0,234,2011,2022,8.0
Emergency medicine Australasia : EMA,25,16.6,10.0,415,2004,2021,0.0
Psychiatry research. Neuroimaging,25,21.84,15.0,546,2014,2022,0.0
Praxis,25,0.92,0.0,23,1995,2022,60.0
"Problemy sotsial'noi gigieny, zdravookhraneniia i istorii meditsiny",25,0.48,0.0,12,2001,2022,72.0
International journal of clinical practice,25,17.56,9.0,439,1997,2021,8.0
Expert opinion on pharmacotherapy,25,19.8,20.0,495,2001,2022,0.0
Georgian medical news,25,1.0,0.0,25,2005,2022,60.0
Gaceta sanitaria,25,8.0,6.0,200,1989,2021,0.0
Expert opinion on drug safety,25,19.24,16.0,481,2005,2022,0.0
Journal of palliative medicine,25,18.76,14.0,469,1998,2021,0.0
Srpski arhiv za celokupno lekarstvo,25,1.92,1.0,48,1989,2015,32.0
The Linacre quarterly,25,8.68,2.0,217,1994,2022,16.0
