journal_canonical,n_papers,mean_citations,median_citations,total_citations,first_year,last_year,pct_uncited
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,117,74.35,51.0,8699,1990,2022,0.0
Ugeskrift for laeger,117,1.86,1.0,218,1989,2022,40.17
The American journal of emergency medicine,116,17.57,12.0,2038,1989,2022,3.45
"Journal of child psychology and psychiatry, and allied disciplines",115,67.38,34.0,7749,1989,2022,0.0
Journal of medical ethics,113,16.05,9.0,1814,1989,2022,3.54
Archives of psychiatric nursing,112,13.53,7.0,1515,1989,2022,7.14
Journal of intellectual disability research : JIDR,111,35.58,28.0,3949,1989,2022,0.0
Annals of general psychiatry,110,34.37,18.0,3781,1994,2022,1.82
Journal of traumatic stress,110,34.65,16.5,3812,1990,2022,4.55
Burns : journal of the International Society for Burn Injuries,109,31.54,22.0,3438,1989,2022,0.0
The Psychiatric quarterly,109,16.64,9.0,1814,1989,2022,2.75
European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,108,36.53,23.5,3945,1991,2022,0.0
Psychiatria polska,108,5.3,2.5,572,1992,2022,19.44
"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",107,3.1,1.0,332,1989,2019,32.71
Human & experimental toxicology,106,18.96,12.5,2010,1990,2021,0.94
JMIR mental health,105,39.71,19.0,4170,2006,2022,0.95
"Lancet (London, England)",103,615.65,168.0,63412,1991,2022,0.0
International clinical psychopharmacology,102,27.97,19.5,2853,1990,2022,0.0
Nederlands tijdschrift voor geneeskunde,101,1.9,1.0,192,1991,2022,48.51
Innovation in aging,101,3.56,0.0,360,2011,2022,96.04
"Legal medicine (Tokyo, Japan)",100,8.57,7.0,857,1999,2022,5.0
Addictive behaviors,100,28.86,19.5,2886,1991,2022,1.0
Journal of youth and adolescence,99,46.69,33.0,4622,1989,2022,0.0
Seishin shinkeigaku zasshi = Psychiatria et neurologia Japonica,99,1.62,1.0,160,1989,2017,47.47
Current opinion in psychiatry,98,41.04,22.0,4022,1990,2022,2.04
Child psychiatry and human development,98,24.35,13.5,2386,1991,2022,2.04
Nursing standard (Royal College of Nursing (Great Britain) : 1987),97,2.65,0.0,257,1991,2022,60.82
Journal of clinical medicine,97,63.3,15.0,6140,1998,2022,1.03
The lancet. Psychiatry,97,85.39,59.0,8283,2014,2022,0.0
Psychopathology,96,19.41,11.0,1863,1989,2022,1.04
Journal of autism and developmental disorders,96,50.33,29.0,4832,1989,2022,0.0
The American journal of orthopsychiatry,96,44.2,21.0,4243,1989,2022,0.0
Schizophrenia bulletin,95,54.19,11.0,5148,1989,2022,38.95
Preventive medicine,95,40.62,16.0,3859,1990,2022,1.05
Indian journal of psychological medicine,95,12.02,7.0,1142,1994,2022,6.32
MMWR. Morbidity and mortality weekly report,94,55.84,24.5,5249,1991,2022,1.06
Journal of medical Internet research,94,49.51,23.5,4654,2006,2022,0.0
The International journal of eating disorders,94,44.16,28.5,4151,1993,2022,0.0
Early intervention in psychiatry,94,19.73,14.5,1855,2008,2022,2.13
Irish journal of psychological medicine,94,6.05,3.0,569,2001,2022,19.15
The Cochrane database of systematic reviews,93,86.33,75.0,8029,2000,2022,0.0
American journal of epidemiology,93,65.63,34.0,6104,1989,2022,0.0
Aging & mental health,92,21.05,15.0,1937,1997,2022,0.0
International journal of mental health nursing,92,17.46,12.0,1606,2002,2022,1.09
Trials,91,29.98,12.0,2728,1999,2022,0.0
European journal of public health,91,22.3,12.0,2029,1995,2022,15.38
Medicine,91,16.71,8.0,1521,1994,2022,4.4
Pediatric emergency care,91,18.64,10.0,1696,1989,2022,4.4
Epidemiology and psychiatric sciences,90,36.22,16.5,3260,2011,2022,2.22
Journal of psychosomatic research,90,32.6,20.0,2934,1990,2022,1.11
International journal of mental health systems,90,36.03,18.5,3243,1991,2022,1.11
The journal of the American Academy of Psychiatry and the Law,88,17.48,7.0,1538,1997,2022,5.68
Ciencia & saude coletiva,88,7.57,5.5,666,2009,2022,1.14
CNS spectrums,88,24.31,14.5,2139,1999,2022,2.27
"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",87,29.37,24.0,2555,2003,2022,0.0
The Psychiatric clinics of North America,86,35.63,18.5,3064,1989,2019,4.65
Neuropsychobiology,85,24.86,16.0,2113,1989,2021,1.18
Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,85,1.61,1.0,137,1994,2022,40.0
Journal of clinical psychopharmacology,84,38.14,25.5,3204,1991,2022,2.38
Behaviour research and therapy,84,60.39,34.5,5073,1992,2021,0.0
Psychological services,83,13.95,9.0,1158,2012,2022,7.23
International journal of law and psychiatry,82,12.87,8.0,1055,1990,2022,3.66
"Revista brasileira de psiquiatria (Sao Paulo, Brazil : 1999)",82,21.67,14.0,1777,2003,2022,1.22
Journal of bacteriology,81,103.28,51.0,8366,1989,2020,0.0
Adolescence,81,37.46,21.0,3034,1989,2009,1.23
The Journal of school health,81,34.35,19.0,2782,1992,2022,0.0
"Healthcare (Basel, Switzerland)",81,37.35,13.0,3025,2001,2022,2.47
Journal of toxicology. Clinical toxicology,81,25.05,19.0,2029,1989,2004,0.0
Psychosomatics,80,39.69,17.5,3175,1989,2020,0.0
Fortschritte der Neurologie-Psychiatrie,78,6.65,4.0,519,1989,2022,16.67
"Journal of psychopharmacology (Oxford, England)",77,39.01,21.0,3004,1992,2022,5.19
AIDS care,77,24.17,18.0,1861,1993,2022,3.9
Journal of advanced nursing,77,30.06,19.0,2315,1990,2022,1.3
The Journal of emergency medicine,76,16.26,10.0,1236,1989,2022,1.32
The international journal of neuropsychopharmacology,76,45.96,33.0,3493,1998,2022,0.0
Tijdschrift voor psychiatrie,76,1.95,1.0,148,2006,2022,38.16
International journal of epidemiology,75,59.81,43.0,4486,1989,2021,1.33
"Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53",75,42.56,33.0,3192,1994,2022,0.0
Psychiatria Hungarica : A Magyar Pszichiatriai Tarsasag tudomanyos folyoirata,74,2.12,0.5,157,2005,2022,50.0
Psychological assessment,74,35.7,20.5,2642,1995,2022,1.35
The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,73,29.62,18.0,2162,2000,2022,0.0
Journal of Korean medical science,73,14.41,10.0,1052,1999,2022,0.0
BMJ case reports,73,15.86,5.0,1158,1990,2022,5.48
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,72,29.5,14.5,2124,1991,2022,0.0
Annals of clinical psychiatry : official journal of the American Academy of Clinical Psychiatrists,72,22.38,13.0,1611,1989,2022,2.78
Actas espanolas de psiquiatria,72,13.17,5.0,948,1999,2022,13.89
International journal of psychiatry in medicine,71,20.46,12.0,1453,1989,2022,4.23
Applied and environmental microbiology,71,52.2,34.0,3706,1989,2022,0.0
Emergency medicine journal : EMJ,70,19.07,13.5,1335,1992,2022,0.0
Public health,70,17.71,8.5,1240,1989,2022,4.29
Revista medica de Chile,70,4.19,3.0,293,1991,2022,24.29
"Journal of mental health (Abingdon, England)",70,13.97,10.0,978,2010,2022,0.0
Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,70,3.96,3.0,277,1995,2022,7.14
"Psychological trauma : theory, research, practice and policy",70,24.7,11.5,1729,2007,2022,1.43
Journal of abnormal psychology,69,88.81,48.0,6128,1989,2021,1.45
Substance use & misuse,69,20.71,14.0,1429,1996,2022,2.9
Case reports in psychiatry,69,17.72,4.0,1223,2001,2022,11.59
"Psychology, health & medicine",68,13.15,8.0,894,2000,2022,7.35
Clinical psychology & psychotherapy,67,21.72,10.0,1455,2000,2022,0.0
Psychiatric Bulletin,67,7.85,2.0,526,1989,2000,22.39
The New England journal of medicine,66,291.88,155.0,19264,1989,2022,1.52
Annals of the New York Academy of Sciences,65,60.75,34.0,3949,1990,2022,1.54
Annals of internal medicine,64,78.97,34.0,5054,1991,2019,14.06
Canadian journal of public health = Revue canadienne de sante publique,64,47.89,18.0,3065,1989,2022,0.0
Medical hypotheses,64,19.42,10.0,1243,1989,2021,0.0
Psychopharmacology,64,41.72,26.0,2670,1990,2022,0.0
International journal of circumpolar health,64,14.89,12.0,953,1998,2022,3.12
Psychiatry,64,17.33,8.0,1109,1989,2022,3.12
