decade,methodology,n,pct
1989,mixed,2,0.4
1989,qualitative,190,34.2
1989,quantitative,360,64.9
1989,review,3,0.5
1990s,mixed,21,0.3
1990s,qualitative,1904,25.7
1990s,quantitative,5426,73.2
1990s,review,63,0.8
2000s,mixed,63,0.5
2000s,qualitative,2403,19.4
2000s,quantitative,9537,77.0
2000s,review,390,3.1
2010s,mixed,277,1.1
2010s,qualitative,3825,15.1
2010s,quantitative,19619,77.2
2010s,review,1689,6.6
2020s,mixed,701,1.9
2020s,qualitative,4519,12.5
2020s,quantitative,27009,74.9
2020s,review,3839,10.6
